AAC89509.1	N/A	3.66e-97
AHD77729.1	N/A	1.04e-96
AAC89508.1	N/A	1.56e-94
AKX79758.1	N/A	2.72e-94
AAC89511.1	N/A	5.11e-71
ADC20444.1	N/A	1.33e-19
AKX79762.1	N/A	3.57e-19
AAB11121.1	N/A	4.69e-14
ADC20569.1	N/A	2.76e-13
ACQ18373.1	N/A	3.08e-13
QHZ84220.1	N/A	2.12e-12
AAB11119.1	N/A	2.47e-12
AAU99721.1	N/A	4.96e-12
ADC20568.1	N/A	1.09e-11
AKX31094.1	N/A	1.49e-11
ADL74427.1	N/A	1.87e-11
AKX79125.1	N/A	1.92e-11
AKX79696.1	N/A	1.93e-11
AAB11120.1	N/A	1.31e-10
AKX79699.1	N/A	2.48e-10
ACE20852.1	N/A	2.64e-10
AKX79124.1	N/A	4.10e-10
AHE03245.1	N/A	4.17e-10
AKX79760.1	N/A	5.15e-10
AAE36276.1	N/A	6.22e-10
CAC88307.1	N/A	8.90e-10
CAD79755.1	N/A	1.16e-09
AKX79890.1	N/A	3.26e-09
AJL27605.1	N/A	7.26e-09
AAE68759.1	N/A	1.22e-08
AJL53160.1	N/A	4.38e-08
AJL53161.1	N/A	1.52e-07
AAN21180.1	N/A	8.66e-07
QFN26139.1	N/A	8.98e-07
AZK07848.1	N/A	9.92e-07
AAN21181.1	N/A	1.00e-06
CAD69354.1	N/A	1.60e-06
AZK07849.1	N/A	1.64e-06
AKX79702.1	N/A	1.71e-06
AZK07847.1	N/A	1.74e-06
ADC20571.1	N/A	2.40e-06
AHE03244.1	N/A	2.62e-06
AAN21183.1	N/A	4.06e-06
CAD79754.1	N/A	9.95e-06
AZK07850.1	N/A	1.26e-05
ACQ18164.1	N/A	1.82e-05
AKX79700.1	N/A	1.85e-05
ABJ39658.1	N/A	2.11e-05
AZK07851.1	N/A	2.30e-05
