AKX31094.1	N/A	2.00e-41
ADL74427.1	N/A	5.65e-41
AKX79760.1	N/A	7.35e-41
AAE68759.1	N/A	2.29e-40
AKX79698.1	N/A	1.70e-39
ADC20571.1	N/A	2.02e-37
AAB11119.1	N/A	4.52e-36
AAE36276.1	N/A	1.44e-35
ADC20444.1	N/A	4.71e-35
AKX79762.1	N/A	1.58e-34
AKX79700.1	N/A	3.21e-34
AKX79699.1	N/A	2.58e-33
ACE20852.1	N/A	2.84e-33
AAB11122.1	N/A	3.39e-32
AJL53160.1	N/A	1.70e-31
CAD79754.1	N/A	2.15e-31
ADC20569.1	N/A	4.95e-31
ADC20568.1	N/A	6.15e-31
AKX79125.1	N/A	7.57e-31
CAD69354.1	N/A	9.90e-31
AJL53161.1	N/A	1.03e-30
QFN26139.1	N/A	1.15e-30
AAN21181.1	N/A	1.18e-30
AAN21180.1	N/A	1.29e-30
AAN21183.1	N/A	1.47e-30
QHZ84220.1	N/A	3.62e-30
AKX79124.1	N/A	7.91e-30
ACQ18373.1	N/A	1.01e-29
AKX79696.1	N/A	1.03e-29
AKX79702.1	N/A	1.17e-29
AHE03245.1	N/A	1.34e-29
CAD79755.1	N/A	2.03e-28
AKX79890.1	N/A	5.11e-28
AAB11120.1	N/A	8.91e-27
AZK07850.1	N/A	1.04e-25
AZK07848.1	N/A	5.02e-25
AZK07847.1	N/A	4.29e-24
AAB11121.1	N/A	4.95e-23
AAE44539.1	N/A	1.08e-22
AJN70182.1	N/A	1.25e-22
AZK07851.1	N/A	1.39e-22
AJN70180.1	N/A	1.87e-22
AZK07849.1	N/A	1.03e-21
AKX79774.1	N/A	2.71e-21
QFN40760.1	N/A	1.11e-20
AAA71728.1	N/A	1.12e-20
AAA71727.1	N/A	1.22e-20
AAE68755.1	N/A	1.35e-20
AED76868.1	N/A	1.70e-20
AAE72279.1	N/A	2.20e-20
ATL08381.1	N/A	3.19e-20
AAE36376.1	N/A	3.77e-20
ABY15067.1	N/A	5.84e-20
ABY15068.1	N/A	6.02e-20
AOC26637.1	N/A	7.05e-20
AJN70173.1	N/A	9.33e-20
AJN70172.1	N/A	9.97e-20
QFN61651.1	N/A	1.25e-19
AAA71725.1	N/A	1.51e-19
AQM99213.1	N/A	2.11e-19
AAA71726.1	N/A	2.32e-19
AEC33399.1	N/A	2.87e-19
AAE72278.1	N/A	5.70e-19
AAW10853.1	N/A	5.92e-19
AAW10852.1	N/A	7.11e-19
AAB78704.1	N/A	7.21e-19
ACQ18392.1	N/A	7.95e-19
AKX79780.1	N/A	1.25e-18
CAC88307.1	N/A	2.97e-18
AEC33406.1	N/A	3.75e-18
AKX79773.1	N/A	6.38e-18
AAQ32103.1	N/A	6.54e-18
AAE56970.1	N/A	6.56e-18
AKX31091.1	N/A	7.08e-18
AAE75787.1	N/A	7.26e-18
ACC29800.1	N/A	1.09e-17
AAE47533.1	N/A	1.14e-17
AAW13848.1	N/A	1.26e-17
AAB42859.1	N/A	1.81e-17
ACC29799.1	N/A	1.87e-17
AAW10856.1	N/A	1.89e-17
AAE45724.1	N/A	2.04e-17
ABH71886.1	N/A	2.69e-17
AAE28182.1	N/A	2.72e-17
AAW10855.1	N/A	3.02e-17
AAB54703.1	N/A	3.06e-17
ABH71889.1	N/A	3.14e-17
ATL08320.1	N/A	3.66e-17
ACP57186.1	N/A	4.02e-17
AAE68752.1	N/A	4.07e-17
AQN59630.1	N/A	4.76e-17
ACQ18410.1	N/A	6.66e-17
AUE82118.1	N/A	6.72e-17
AKX31090.1	N/A	7.54e-17
QCB11932.1	N/A	7.87e-17
AUE82124.1	N/A	8.76e-17
ABJ42062.1	N/A	1.17e-16
AAW99690.1	N/A	1.19e-16
ABJ41964.1	N/A	1.20e-16
ABE24587.1	N/A	1.45e-16
ABW65081.1	N/A	1.50e-16
AAO96295.1	N/A	1.53e-16
ABW65077.1	N/A	1.56e-16
AJN70185.1	N/A	1.75e-16
AAO96296.1	N/A	1.79e-16
AQN59629.1	N/A	1.80e-16
AAO96288.1	N/A	1.83e-16
AAO96294.1	N/A	1.84e-16
ACW55984.1	N/A	1.85e-16
ACC03167.1	N/A	1.87e-16
AAO96289.1	N/A	2.02e-16
AAO96298.1	N/A	2.13e-16
AAR67195.1	N/A	2.13e-16
ACW56003.1	N/A	2.35e-16
AAE03539.1	N/A	2.84e-16
ACW55990.1	N/A	3.62e-16
ACW55983.1	N/A	3.64e-16
ABJ30025.1	N/A	3.65e-16
AAE47991.1	N/A	3.91e-16
ADF20581.1	N/A	4.09e-16
ACW55993.1	N/A	4.11e-16
AAE75785.1	N/A	4.25e-16
AAE75784.1	N/A	4.25e-16
AAW10830.1	N/A	4.30e-16
ABJ30024.1	N/A	4.33e-16
ACW55988.1	N/A	4.34e-16
ABS90804.1	N/A	4.35e-16
ATK99513.1	N/A	4.53e-16
ADF20580.1	N/A	4.63e-16
ABH99710.1	N/A	4.63e-16
ACW55986.1	N/A	4.82e-16
ABW65079.1	N/A	4.92e-16
AAE87935.1	N/A	5.09e-16
AAO96286.1	N/A	5.35e-16
ABH99709.1	N/A	5.39e-16
ACW55991.1	N/A	5.65e-16
ABJ30023.1	N/A	5.68e-16
ABH99711.1	N/A	5.68e-16
ABJ42063.1	N/A	5.71e-16
ACW55985.1	N/A	5.80e-16
ACC24487.1	N/A	6.04e-16
ABS90802.1	N/A	6.07e-16
AAB78702.1	N/A	6.44e-16
ADF20579.1	N/A	6.47e-16
AAO96297.1	N/A	6.48e-16
AAE68753.1	N/A	6.74e-16
ACW55987.1	N/A	6.87e-16
CCA64008.1	N/A	7.29e-16
AHE03244.1	N/A	7.78e-16
AKX79858.1	N/A	8.37e-16
ACW56001.1	N/A	9.05e-16
AGN58045.1	N/A	9.44e-16
ATK87352.1	N/A	9.88e-16
ABS95019.1	N/A	1.01e-15
ABS90803.1	N/A	1.03e-15
AAB44811.1	N/A	1.06e-15
ATK87354.1	N/A	1.07e-15
CAC38446.1	N/A	1.08e-15
AAE41201.1	N/A	1.11e-15
AAT23219.1	N/A	1.13e-15
AAW10496.1	N/A	1.14e-15
AGM72620.1	N/A	1.16e-15
ACW56002.1	N/A	1.17e-15
AAC85717.1	N/A	1.20e-15
ACW55992.1	N/A	1.21e-15
AVB90294.1	N/A	1.22e-15
ATK87353.1	N/A	1.29e-15
ACW56004.1	N/A	1.44e-15
AAN18709.1	N/A	1.45e-15
AAN18715.1	N/A	1.58e-15
AAN18713.1	N/A	1.60e-15
CAD69614.1	N/A	1.64e-15
ABJ42825.1	N/A	1.64e-15
ATK87355.1	N/A	1.65e-15
AAE77741.1	N/A	1.81e-15
AAW10832.1	N/A	1.85e-15
AAW10841.1	N/A	1.99e-15
ATJ63800.1	N/A	2.03e-15
AAW10840.1	N/A	2.44e-15
AAE68758.1	N/A	2.50e-15
CAD79723.1	N/A	3.32e-15
AKX79557.1	N/A	3.55e-15
CAD79722.1	N/A	4.03e-15
ABW44247.1	N/A	4.39e-15
AUF11987.1	N/A	5.54e-15
ABU39291.1	N/A	6.73e-15
ABJ42064.1	N/A	8.97e-15
AKX79779.1	N/A	9.72e-15
ABJ42824.1	N/A	1.00e-14
ADS11198.1	N/A	1.02e-14
AAW10831.1	N/A	1.08e-14
AKX79397.1	N/A	1.08e-14
ABW65082.1	N/A	1.20e-14
AKX79863.1	N/A	1.35e-14
AAE68195.1	N/A	1.80e-14
AAP00869.1	N/A	2.13e-14
AKX79732.1	N/A	2.20e-14
AAE56971.1	N/A	2.33e-14
AJN70138.1	N/A	2.46e-14
ABJ30022.1	N/A	2.50e-14
AKX79361.1	N/A	2.54e-14
ABJ42065.1	N/A	2.72e-14
AVB90408.1	N/A	2.83e-14
ADF20578.1	N/A	2.94e-14
AAW10838.1	N/A	3.68e-14
AKX79271.1	N/A	5.06e-14
AAB11112.1	N/A	5.14e-14
AAB44816.1	N/A	5.41e-14
ABS90810.1	N/A	5.62e-14
AAP00868.1	N/A	5.88e-14
AAO96287.1	N/A	6.46e-14
AAT23221.1	N/A	6.59e-14
AJL32412.1	N/A	6.62e-14
AAE69435.1	N/A	6.85e-14
AKX79778.1	N/A	7.08e-14
QHX61700.1	N/A	7.47e-14
CAD79760.1	N/A	7.71e-14
ABI05744.1	N/A	8.83e-14
ATL07912.1	N/A	9.66e-14
QDB02429.1	N/A	1.11e-13
AEC33407.1	N/A	1.12e-13
CAD69521.1	N/A	1.14e-13
AAE03538.1	N/A	1.15e-13
AAE47535.1	N/A	1.21e-13
AAW10859.1	N/A	1.37e-13
AAE36274.1	N/A	1.42e-13
ABW44441.1	N/A	1.66e-13
AGN58044.1	N/A	1.68e-13
ACC29746.1	N/A	1.69e-13
AAO96290.1	N/A	1.71e-13
AAE64153.1	N/A	1.73e-13
AJL32409.1	N/A	1.81e-13
AHE20048.1	N/A	1.90e-13
AAN88882.1	N/A	2.04e-13
AKX79859.1	N/A	2.14e-13
ACQ18164.1	N/A	2.15e-13
QHX61697.1	N/A	2.36e-13
ABI05736.1	N/A	2.36e-13
AKX79785.1	N/A	2.38e-13
AAB78701.1	N/A	2.55e-13
ABL20588.1	N/A	2.64e-13
AAB11138.1	N/A	2.70e-13
AAA95714.1	N/A	2.75e-13
AKX79287.1	N/A	3.01e-13
AFX12994.1	N/A	3.02e-13
ABJ42066.1	N/A	3.09e-13
AAE02679.1	N/A	3.18e-13
AAP00867.1	N/A	3.48e-13
ABL51388.1	N/A	3.53e-13
ABH65480.1	N/A	3.66e-13
ADS88059.1	N/A	3.77e-13
ABN29250.1	N/A	4.08e-13
AAE10706.1	N/A	4.34e-13
AAB11080.1	N/A	4.67e-13
AAB54702.1	N/A	4.75e-13
ABW53209.1	N/A	4.88e-13
ACC29747.1	N/A	4.92e-13
AAE16336.1	N/A	5.09e-13
ADI53415.1	N/A	5.20e-13
ADR96859.1	N/A	5.64e-13
AAC91010.1	N/A	5.73e-13
AAB77441.1	N/A	5.86e-13
