ADC20569.1	N/A	1.45e-25
ADC20444.1	N/A	3.18e-25
AKX79762.1	N/A	1.60e-23
AKX79696.1	N/A	1.94e-23
ADC20571.1	N/A	3.94e-22
QHZ84220.1	N/A	4.05e-22
ADC20568.1	N/A	1.28e-21
AKX79890.1	N/A	4.96e-21
AKX79698.1	N/A	8.04e-20
AAB11122.1	N/A	1.17e-19
AKX79124.1	N/A	2.58e-18
AHE03245.1	N/A	3.96e-18
CAD79755.1	N/A	5.44e-18
AAB11121.1	N/A	1.18e-17
AKX79760.1	N/A	1.59e-17
AAE68759.1	N/A	2.54e-17
ADL74427.1	N/A	3.51e-17
AKX31094.1	N/A	1.72e-16
AAE36276.1	N/A	2.68e-16
AKX79125.1	N/A	2.80e-16
AJL53160.1	N/A	6.77e-16
AAB11119.1	N/A	1.03e-15
AAB11120.1	N/A	5.01e-15
CAC88307.1	N/A	8.55e-15
AJL53161.1	N/A	2.06e-13
AAN21183.1	N/A	7.28e-13
AAE00135.1	N/A	1.08e-12
ACQ18373.1	N/A	1.47e-12
CAD79754.1	N/A	1.91e-12
AKX79700.1	N/A	2.44e-12
CAD69354.1	N/A	2.77e-12
AAN21181.1	N/A	3.52e-12
QFN26139.1	N/A	4.13e-12
AAN21180.1	N/A	4.21e-12
AKX79702.1	N/A	8.90e-12
AHE03244.1	N/A	8.94e-12
CAA03542.1	N/A	1.02e-11
AAE00128.1	N/A	1.67e-11
AKX79699.1	N/A	3.22e-11
ACE20852.1	N/A	3.53e-11
CAA03544.1	N/A	6.41e-11
AME80573.1	N/A	1.08e-10
AAE00136.1	N/A	2.06e-10
AAU51132.1	N/A	2.73e-10
AKX79758.1	N/A	2.98e-10
AAE87493.1	N/A	3.16e-10
ACK31706.1	N/A	3.49e-10
AME80574.1	N/A	2.07e-09
AAE00130.1	N/A	3.59e-09
AAQ27078.1	N/A	3.62e-09
AAC89508.1	N/A	4.25e-09
ABJ42822.1	N/A	4.43e-09
AAE80976.1	N/A	4.53e-09
ACQ18164.1	N/A	5.24e-09
AAE50258.1	N/A	5.54e-09
ABJ42821.1	N/A	5.78e-09
AAE00129.1	N/A	6.11e-09
AAE50228.1	N/A	6.19e-09
AHD77729.1	N/A	6.41e-09
AAN20094.1	N/A	6.70e-09
AED45549.1	N/A	8.02e-09
AAQ27076.1	N/A	1.01e-08
AAE50259.1	N/A	1.08e-08
AAE32940.1	N/A	1.09e-08
AJN70158.1	N/A	1.14e-08
AJO32765.1	N/A	1.22e-08
AMF21931.1	N/A	1.39e-08
AAE00137.1	N/A	1.61e-08
AAC89509.1	N/A	2.12e-08
AUE80996.1	N/A	2.13e-08
AJO32764.1	N/A	2.26e-08
AAE81200.1	N/A	2.81e-08
AAE81203.1	N/A	2.85e-08
AJM47384.1	N/A	2.93e-08
AAQ47193.1	N/A	3.85e-08
AAB56841.1	N/A	4.26e-08
AEX19711.1	N/A	4.26e-08
ABJ42820.1	N/A	4.51e-08
ABJ42819.1	N/A	4.63e-08
AMF21933.1	N/A	4.89e-08
ACK31709.1	N/A	8.82e-08
AAC89511.1	N/A	9.75e-08
AAE81199.1	N/A	1.01e-07
AAQ27077.1	N/A	1.13e-07
AEX19735.1	N/A	1.41e-07
AAW10820.1	N/A	1.42e-07
AEX19736.1	N/A	1.58e-07
AUE80995.1	N/A	1.73e-07
AFO06859.1	N/A	1.76e-07
AAE81202.1	N/A	1.81e-07
AAE50260.1	N/A	1.83e-07
AGN58128.1	N/A	1.85e-07
AAM60136.1	N/A	1.95e-07
AJN70157.1	N/A	2.26e-07
CAD69521.1	N/A	2.34e-07
ACQ18345.1	N/A	2.97e-07
AAC87332.1	N/A	3.64e-07
ADI53415.1	N/A	3.96e-07
AKX79209.1	N/A	4.12e-07
ACK31708.1	N/A	4.33e-07
AHE20048.1	N/A	5.06e-07
AAR78369.1	N/A	5.09e-07
AAP64813.1	N/A	5.18e-07
AAW10819.1	N/A	5.83e-07
ABW44308.1	N/A	6.15e-07
ABA32566.1	N/A	6.28e-07
AAP64847.1	N/A	6.39e-07
ABN29302.1	N/A	7.48e-07
AEX19734.1	N/A	7.66e-07
AEX19733.1	N/A	8.26e-07
AZK07849.1	N/A	8.40e-07
ACC03256.1	N/A	9.06e-07
AAY08095.1	N/A	1.02e-06
AED03793.1	N/A	1.07e-06
AME80575.1	N/A	1.21e-06
ADS78964.1	N/A	1.62e-06
ABL13935.1	N/A	1.69e-06
AAN88880.1	N/A	1.78e-06
AAE02677.1	N/A	1.86e-06
AAR66477.1	N/A	1.93e-06
AZK07848.1	N/A	2.06e-06
AJM06742.1	N/A	2.13e-06
AAE41210.1	N/A	2.14e-06
CAD79723.1	N/A	2.18e-06
AKX79210.1	N/A	2.35e-06
AKX79289.1	N/A	2.62e-06
AEN34065.1	N/A	2.96e-06
AKX79532.1	N/A	3.17e-06
AED45548.1	N/A	4.09e-06
AAB56842.1	N/A	4.14e-06
AKX79260.1	N/A	4.19e-06
ABH94601.1	N/A	4.19e-06
AEN34066.1	N/A	4.37e-06
ACC19101.1	N/A	4.38e-06
AME80566.1	N/A	4.55e-06
AKX79281.1	N/A	5.17e-06
AAE73655.1	N/A	5.38e-06
AZK07850.1	N/A	5.43e-06
AJO32763.1	N/A	5.66e-06
AAB12766.1	N/A	7.41e-06
ADS78965.1	N/A	7.49e-06
AAB76650.1	N/A	7.54e-06
AAR66482.1	N/A	7.83e-06
AAE02678.1	N/A	8.13e-06
AME80567.1	N/A	8.18e-06
AME80569.1	N/A	8.43e-06
AAN88881.1	N/A	8.82e-06
AAB80614.1	N/A	8.98e-06
AKX79204.1	N/A	9.06e-06
AZK07851.1	N/A	9.18e-06
AJM06730.1	N/A	9.35e-06
AAB16002.1	N/A	9.86e-06
AAE10696.1	N/A	1.03e-05
AKX79288.1	N/A	1.12e-05
ACK31705.1	N/A	1.14e-05
ABT04034.1	N/A	1.18e-05
CBJ06630.1	N/A	1.21e-05
AAA94962.1	N/A	1.22e-05
AJO32762.1	N/A	1.42e-05
AME80577.1	N/A	1.45e-05
ACC29800.1	N/A	1.45e-05
AAN95616.1	N/A	1.55e-05
AAB12767.1	N/A	1.56e-05
AAA94963.1	N/A	1.63e-05
ACC03253.1	N/A	1.64e-05
ACC03254.1	N/A	1.80e-05
AKX79419.1	N/A	1.84e-05
AAN95615.1	N/A	2.06e-05
AAE75258.1	N/A	2.18e-05
AAB11093.1	N/A	2.30e-05
AAA94958.1	N/A	2.59e-05
AAQ31800.1	N/A	2.81e-05
AZK07847.1	N/A	2.95e-05
AAR78366.1	N/A	3.06e-05
AAP64827.1	N/A	3.26e-05
AEN34064.1	N/A	3.35e-05
AKX79785.1	N/A	3.42e-05
ACM82363.1	N/A	3.44e-05
AEU74393.1	N/A	3.54e-05
CBJ06583.1	N/A	3.72e-05
AEN34063.1	N/A	3.73e-05
AVB90403.1	N/A	3.73e-05
AAB11136.1	N/A	3.74e-05
CBJ06585.1	N/A	4.06e-05
CBJ06584.1	N/A	4.20e-05
ABP12364.1	N/A	4.35e-05
ABN29298.1	N/A	4.59e-05
AAB11085.1	N/A	4.78e-05
ABN29295.1	N/A	4.80e-05
AAE91743.1	N/A	4.82e-05
CBJ06582.1	N/A	4.97e-05
