AAC89508.1	N/A	2.97e-164
AAC89509.1	N/A	1.54e-163
AHD77729.1	N/A	2.60e-161
AKX79758.1	N/A	5.46e-150
AAC89511.1	N/A	2.62e-136
ADC20444.1	N/A	8.05e-31
AKX79762.1	N/A	1.00e-26
CAD79754.1	N/A	1.65e-21
AZK07850.1	N/A	1.89e-21
AZK07848.1	N/A	2.08e-21
AZK07847.1	N/A	3.59e-21
QFN26139.1	N/A	9.27e-21
AAN21180.1	N/A	1.14e-20
CAD69354.1	N/A	1.20e-20
CAD79755.1	N/A	6.47e-20
AKX79125.1	N/A	1.16e-19
AKX79702.1	N/A	1.82e-19
AKX79124.1	N/A	3.45e-19
AAN21183.1	N/A	4.42e-19
AHE03245.1	N/A	7.00e-19
AAN21181.1	N/A	7.27e-18
ABJ39496.1	N/A	1.70e-17
AJL27605.1	N/A	4.08e-17
ABJ39658.1	N/A	1.17e-16
AKX79699.1	N/A	2.25e-16
ACE20852.1	N/A	2.60e-16
AKX79700.1	N/A	6.84e-16
AZK07851.1	N/A	1.07e-15
AZK07849.1	N/A	3.92e-15
AAU99721.1	N/A	5.56e-12
AKX31094.1	N/A	6.36e-12
ADL74427.1	N/A	6.82e-12
ACQ18373.1	N/A	1.31e-11
AAB11119.1	N/A	2.47e-11
AKX79760.1	N/A	5.21e-11
CAC88307.1	N/A	8.45e-11
AAE68759.1	N/A	5.44e-10
AAE36276.1	N/A	7.00e-10
ACQ18164.1	N/A	1.51e-09
ACC29782.1	N/A	2.06e-08
AAE00135.1	N/A	3.50e-08
AKX79799.1	N/A	1.62e-07
ATL08380.1	N/A	2.80e-07
AKX79800.1	N/A	3.41e-07
AQN59632.1	N/A	4.96e-07
AJL53160.1	N/A	5.51e-07
AAB78701.1	N/A	9.14e-07
AAA94903.1	N/A	1.01e-06
AAC88914.1	N/A	1.08e-06
AAE32351.1	N/A	1.09e-06
AAE16335.1	N/A	1.17e-06
AAW10839.1	N/A	1.24e-06
AAE64153.1	N/A	1.25e-06
AAW10793.1	N/A	1.26e-06
AGN58044.1	N/A	1.26e-06
AAE36277.1	N/A	1.37e-06
ACC29781.1	N/A	1.40e-06
AHE03244.1	N/A	1.45e-06
ACC29783.1	N/A	1.47e-06
CAA02440.1	N/A	1.64e-06
CCA64011.1	N/A	1.65e-06
AAP00867.1	N/A	2.13e-06
AAE00137.1	N/A	3.32e-06
ADS38941.1	N/A	3.37e-06
ADC20569.1	N/A	4.19e-06
AAE00130.1	N/A	4.65e-06
CAA03542.1	N/A	6.11e-06
AKX79260.1	N/A	7.26e-06
ATK99392.1	N/A	9.16e-06
AAE68755.1	N/A	9.45e-06
ABZ32875.1	N/A	1.04e-05
ABW65082.1	N/A	1.14e-05
QHZ84220.1	N/A	1.15e-05
CAA03544.1	N/A	1.23e-05
AEN34066.1	N/A	1.23e-05
ATL07956.1	N/A	1.26e-05
ACS10699.1	N/A	1.32e-05
ADL73019.1	N/A	1.32e-05
AAE75787.1	N/A	1.38e-05
AAE47533.1	N/A	1.46e-05
AAB78704.1	N/A	1.46e-05
AJL53161.1	N/A	1.49e-05
AAE00128.1	N/A	1.68e-05
QHX61697.1	N/A	1.88e-05
AAW10852.1	N/A	2.41e-05
AKX31091.1	N/A	2.59e-05
AAP00869.1	N/A	2.72e-05
AAP00868.1	N/A	2.95e-05
QHX61700.1	N/A	3.21e-05
AAB11086.1	N/A	3.24e-05
AKX79640.1	N/A	3.30e-05
QHX61699.1	N/A	3.40e-05
ABW53209.1	N/A	3.57e-05
AAA71725.1	N/A	4.83e-05
