tr|A0A672H341|A0A672H341_SALFA
XP_008487287.1
AEW67068.1
AEW67052.1
tr|A0A672JZT1|A0A672JZT1_SINGR
RDD38352.1
AGB67493.1
TKS86011.1
AEX08666.2
AAG61163.1
XP_021102426.1
AEW67068.1
AEW67052.1
XP_019810730.1
XP_010883992.1
