tr|A0A4W3J7R0|A0A4W3J7R0_CALMI
ETN59672.1
XP_002113684.1
RDD37394.1
ODN00900.1
Parasabella_TRINITY_DN22460_c0_g1_i1|ORF1
AWP13317.1
HDC51944.1
XP_014370959.1
Pseudobranchiomma_cf_schizogenica_SOAP_k35_C913011|ORF3
GBN15126.1
tr|A0A3Q1CJT9|A0A3Q1CJT9_AMPOC
tr|A0A3Q3KLX4|A0A3Q3KLX4_9TELE
TMS06480.1
tr|A0A672IW46|A0A672IW46_SALFA
tr|A0A5G3JVY1|A0A5G3JVY1_XENTR
XP_002113684.1
RDD37394.1
AWP13317.1
ODN00900.1
Parasabella_TRINITY_DN22460_c0_g1_i1|ORF1
ETN59672.1
HDC51944.1
XP_032378826.1
XP_015339426.1
XP_028262424.1
