GAU91615.1
tr|A0A672YQN1|A0A672YQN1_9TELE
AXN75756.1
QGW08871.1
AAD14407.1
DAniello2015_ops8_Heliocidaris_erythrogramma
JAK20911.1
tr|A0A673IZS2|A0A673IZS2_9TELE
RDD45134.1
DAniello2015_ops8_Balanoglossus_aurantiacus
Pseudobranchiomma_cf_schizogenica_TRINITY_DN39426_c0_g1_i1|ORF1
KTF80430.1
XP_032879321.1
OWA54024.1
XP_015758873.1
ALG00063.1
XP_006989834.1
KXJ22042.1
XP_033828783.1
tr|A0A672YQN1|A0A672YQN1_9TELE
JAK20911.1
DAniello2015_ops8_Heliocidaris_erythrogramma
DAniello2015_ops8_Balanoglossus_aurantiacus
VDM57014.1
QGW08871.1
EDW45872.1
AYL60023.1
