MOS16714.1	N/A	1.75e-23
AFP07039.1	N/A	4.25e-23
JAR84058.1	N/A	1.28e-21
SBP81901.1	N/A	1.10e-20
SBP39322.1	N/A	1.37e-20
HCZ76028.1	N/A	1.57e-20
HDA47995.1	N/A	1.92e-20
JAR74781.1	N/A	2.23e-20
SBR45648.1	N/A	3.02e-20
JAQ89326.1	N/A	5.91e-20
SBR72480.1	N/A	6.06e-20
SBR55865.1	N/A	8.66e-20
SBS44971.1	N/A	1.49e-19
SBP57860.1	N/A	1.71e-19
SBQ63459.1	N/A	1.81e-19
SBP02319.1	N/A	3.91e-19
JAQ25965.1	N/A	4.22e-19
SBQ85946.1	N/A	6.23e-19
SBP48703.1	N/A	6.65e-19
SBP09586.1	N/A	6.68e-19
SBS48935.1	N/A	9.44e-19
JAC15687.1	N/A	1.83e-18
SBS05216.1	N/A	9.39e-18
SBP58898.1	N/A	9.95e-18
JAR28520.1	N/A	1.03e-17
SBS42146.1	N/A	3.66e-17
SBR48231.1	N/A	4.65e-17
HCZ74993.1	N/A	5.61e-17
SBQ90499.1	N/A	6.86e-17
JAR72899.1	N/A	1.51e-16
JAG63746.1	N/A	1.58e-16
CDW48803.1	N/A	1.81e-16
JAN55116.1	N/A	2.65e-16
JAK80944.1	N/A	3.30e-16
JAS20427.1	N/A	3.45e-16
SBR90502.1	N/A	5.54e-16
SBS43728.1	N/A	9.97e-16
CDW39655.1	N/A	1.60e-15
JAR34304.1	N/A	1.90e-15
JAN78261.1	N/A	2.57e-15
SBR48819.1	N/A	2.60e-15
SBQ56083.1	N/A	2.79e-15
SBP19876.1	N/A	3.59e-15
SBP76486.1	N/A	4.67e-15
SBP54092.1	N/A	4.95e-15
JAR85840.1	N/A	5.55e-15
SBR05708.1	N/A	7.34e-15
SBR30450.1	N/A	9.31e-15
SBR96488.1	N/A	1.07e-14
MOS14528.1	N/A	1.22e-14
JAA92594.1	N/A	2.38e-14
JAR66174.1	N/A	2.60e-14
MBY78844.1	N/A	3.80e-14
SBS57368.1	N/A	7.01e-14
