MOS14528.1	N/A	4.37e-50
MBY78844.1	N/A	1.62e-47
HDA47995.1	N/A	2.65e-47
SBP02319.1	N/A	5.09e-47
HCZ76028.1	N/A	1.52e-46
SBR45648.1	N/A	4.65e-46
JAG63746.1	N/A	1.56e-45
JAC15687.1	N/A	1.79e-45
SBR72480.1	N/A	1.98e-45
MBW16784.1	N/A	2.97e-45
SBS42146.1	N/A	3.58e-45
JAR85840.1	N/A	4.89e-45
JAR75706.1	N/A	6.86e-45
SBQ90499.1	N/A	9.77e-45
AFM43712.1	N/A	1.00e-44
SBR48231.1	N/A	1.13e-44
AFM75824.1	N/A	1.51e-44
AFM43710.1	N/A	5.71e-44
MBY30570.1	N/A	9.96e-44
SBP19876.1	N/A	1.13e-43
SBS43728.1	N/A	2.80e-43
AFP07039.1	N/A	2.88e-43
SBR05708.1	N/A	3.54e-43
SBQ56083.1	N/A	4.80e-43
HCZ74993.1	N/A	5.12e-43
SBS44971.1	N/A	6.16e-43
SBP76486.1	N/A	7.90e-43
SBP54092.1	N/A	8.42e-43
SBQ63459.1	N/A	1.38e-42
SBR96488.1	N/A	1.71e-42
SBP57860.1	N/A	1.90e-42
JAR84058.1	N/A	7.15e-42
SBR48819.1	N/A	9.05e-42
JAR74781.1	N/A	1.24e-41
SBQ85946.1	N/A	1.49e-41
SBP58898.1	N/A	2.36e-41
JAQ89326.1	N/A	2.54e-41
SBR55865.1	N/A	2.96e-41
SBP09586.1	N/A	3.34e-41
JAS20427.1	N/A	7.79e-41
SBP48703.1	N/A	8.03e-41
JAQ49601.1	N/A	1.18e-40
JAQ25965.1	N/A	2.33e-39
MBW70498.1	N/A	2.07e-38
JAR50433.1	N/A	4.10e-38
JAB57557.1	N/A	1.13e-37
SBP36176.1	N/A	1.28e-37
JAR66174.1	N/A	1.37e-37
MBW68602.1	N/A	4.31e-37
JAA98494.1	N/A	4.59e-37
MBW55670.1	N/A	4.83e-37
MBW55669.1	N/A	4.99e-37
SBP81901.1	N/A	5.69e-37
JAR72590.1	N/A	5.74e-37
AFP03346.1	N/A	5.82e-37
MBW33959.1	N/A	6.91e-37
MBW21010.1	N/A	6.99e-37
JAV06622.1	N/A	7.63e-37
JAQ41277.1	N/A	9.30e-37
JAR48423.1	N/A	1.02e-36
SBP02967.1	N/A	1.14e-36
MBW21003.1	N/A	1.30e-36
SBP39322.1	N/A	1.39e-36
AFM75825.1	N/A	2.17e-36
JAR48421.1	N/A	2.18e-36
JAV06637.1	N/A	2.56e-36
SBQ98945.1	N/A	2.86e-36
JAQ69592.1	N/A	3.46e-36
SBR90915.1	N/A	3.58e-36
SBR29851.1	N/A	4.11e-36
JAR81055.1	N/A	5.49e-36
SBP56639.1	N/A	7.01e-36
JAB00544.1	N/A	7.80e-36
MBW33964.1	N/A	9.19e-36
JAI96661.1	N/A	9.59e-36
JAK99850.1	N/A	9.99e-36
SBP08352.1	N/A	1.04e-35
JAL13332.1	N/A	1.10e-35
MBW55671.1	N/A	1.20e-35
JAJ48300.1	N/A	1.49e-35
JAK84650.1	N/A	1.65e-35
JAR45428.1	N/A	1.72e-35
JAM43306.1	N/A	2.00e-35
SBP42303.1	N/A	2.06e-35
JAN33073.1	N/A	2.07e-35
MBY74321.1	N/A	2.10e-35
SBP59874.1	N/A	2.14e-35
JAJ49159.1	N/A	2.24e-35
SBP43195.1	N/A	2.58e-35
JAL41132.1	N/A	2.63e-35
JAN55116.1	N/A	2.69e-35
JAM36147.1	N/A	2.82e-35
JAK41029.1	N/A	2.84e-35
JAL19125.1	N/A	2.84e-35
MBW34161.1	N/A	3.00e-35
JAN56155.1	N/A	3.02e-35
JAJ49162.1	N/A	3.57e-35
JAR80542.1	N/A	3.71e-35
JAK80944.1	N/A	4.00e-35
JAR45430.1	N/A	4.26e-35
JAN53204.1	N/A	4.72e-35
JAM03714.1	N/A	5.09e-35
JAM27058.1	N/A	6.11e-35
JAL77161.1	N/A	6.97e-35
JAK96952.1	N/A	7.19e-35
JAJ48301.1	N/A	8.67e-35
JAN66929.1	N/A	8.72e-35
JAL96502.1	N/A	1.01e-34
JAI59574.1	N/A	1.06e-34
JAR45431.1	N/A	1.07e-34
JAJ49160.1	N/A	1.08e-34
JAN23877.1	N/A	1.37e-34
JAM91983.1	N/A	1.46e-34
JAK96953.1	N/A	1.52e-34
JAQ26548.1	N/A	1.62e-34
JAR45429.1	N/A	1.67e-34
JAL30536.1	N/A	1.82e-34
JAJ49161.1	N/A	1.88e-34
JAV31037.1	N/A	1.92e-34
JAL57183.1	N/A	2.04e-34
SBQ89366.1	N/A	2.06e-34
JAB57387.1	N/A	2.60e-34
SBP11492.1	N/A	2.69e-34
JAK69104.1	N/A	2.76e-34
JAJ08459.1	N/A	3.15e-34
JAK79099.1	N/A	3.49e-34
AFM43711.1	N/A	3.86e-34
JAB57952.1	N/A	3.88e-34
JAN77298.1	N/A	4.58e-34
JAL84907.1	N/A	4.87e-34
SBR72280.1	N/A	4.91e-34
JAL82809.1	N/A	5.13e-34
JAV30906.1	N/A	5.60e-34
JAL43182.1	N/A	6.24e-34
JAR79968.1	N/A	7.10e-34
JAL15930.1	N/A	7.16e-34
JAV31036.1	N/A	7.22e-34
JAK29918.1	N/A	7.71e-34
JAN56157.1	N/A	7.87e-34
JAR48426.1	N/A	8.15e-34
JAN18937.1	N/A	1.02e-33
SBP74534.1	N/A	1.04e-33
JAB24935.1	N/A	1.10e-33
JAL15935.1	N/A	1.41e-33
JAK47661.1	N/A	1.47e-33
JAL84908.1	N/A	1.48e-33
SBR42733.1	N/A	1.58e-33
JAI86207.1	N/A	1.77e-33
JAA08345.1	N/A	1.81e-33
JAL43186.1	N/A	1.97e-33
JAM45598.1	N/A	2.09e-33
JAV30905.1	N/A	2.15e-33
JAM22114.1	N/A	2.17e-33
SBP50041.1	N/A	2.36e-33
JAN66519.1	N/A	2.47e-33
SBP49411.1	N/A	2.55e-33
JAK37763.1	N/A	2.96e-33
JAK40072.1	N/A	3.03e-33
JAN78261.1	N/A	3.10e-33
JAL99112.1	N/A	3.43e-33
JAL96456.1	N/A	3.75e-33
JAI57196.1	N/A	4.07e-33
JAK79098.1	N/A	4.16e-33
JAL30538.1	N/A	4.38e-33
JAM02014.1	N/A	4.83e-33
JAK79097.1	N/A	4.90e-33
JAD12545.1	N/A	5.42e-33
MBW15218.1	N/A	6.15e-33
JAR75773.1	N/A	6.75e-33
JAI43425.1	N/A	6.89e-33
JAB01301.1	N/A	7.14e-33
JAK59004.1	N/A	7.23e-33
ADD20084.1	N/A	7.28e-33
JAK19572.1	N/A	7.78e-33
JAK94546.1	N/A	7.86e-33
MBY24923.1	N/A	9.04e-33
MBW15542.1	N/A	9.70e-33
JAN71070.1	N/A	1.05e-32
JAR75719.1	N/A	1.11e-32
JAC58189.1	N/A	1.15e-32
JAL99113.1	N/A	1.15e-32
JAT39539.1	N/A	1.17e-32
SBS57368.1	N/A	1.25e-32
JAL41176.1	N/A	1.27e-32
JAN21733.1	N/A	1.30e-32
AFE71204.1	N/A	1.32e-32
SBP78340.1	N/A	1.34e-32
SBS48935.1	N/A	1.39e-32
JAK81555.1	N/A	1.43e-32
SBR90502.1	N/A	1.57e-32
JAQ57895.1	N/A	1.58e-32
JAK80040.1	N/A	1.70e-32
JAL15934.1	N/A	1.80e-32
JAN30481.1	N/A	2.04e-32
JAM22053.1	N/A	3.05e-32
JAM22054.1	N/A	3.05e-32
MBY33097.1	N/A	3.13e-32
JAM02016.1	N/A	3.19e-32
JAO38469.1	N/A	3.24e-32
JAM83149.1	N/A	3.31e-32
JAK40073.1	N/A	3.57e-32
MOS16714.1	N/A	3.74e-32
NBJ61860.1	N/A	3.90e-32
AHH38320.1	N/A	4.00e-32
JAS20512.1	N/A	4.17e-32
JAM02013.1	N/A	4.24e-32
JAR81056.1	N/A	4.25e-32
JAQ68656.1	N/A	5.03e-32
JAM83545.1	N/A	5.32e-32
JAJ57114.1	N/A	5.78e-32
JAC03980.1	N/A	6.07e-32
JAR69803.1	N/A	7.18e-32
JAQ59849.1	N/A	7.46e-32
JAK72910.1	N/A	7.57e-32
JAG75061.1	N/A	9.94e-32
JAR48422.1	N/A	1.24e-31
LAB67474.1	N/A	1.73e-31
JAR19746.1	N/A	2.45e-31
JAJ11613.1	N/A	2.57e-31
JAN50805.1	N/A	5.16e-31
AFP60345.1	N/A	6.36e-31
JAM65169.1	N/A	7.56e-31
JAI82063.1	N/A	7.68e-31
JAL83968.1	N/A	8.65e-31
JAM98097.1	N/A	8.98e-31
JAR19745.1	N/A	9.20e-31
JAN69476.1	N/A	9.46e-31
AFP08959.1	N/A	1.04e-30
SBP06641.1	N/A	1.07e-30
JAL19993.1	N/A	1.09e-30
JAC51040.1	N/A	1.18e-30
JAI27933.1	N/A	1.32e-30
JAK30271.1	N/A	1.36e-30
JAM53755.1	N/A	1.40e-30
JAJ74107.1	N/A	1.48e-30
JAJ37954.1	N/A	1.48e-30
SBQ51727.1	N/A	1.50e-30
JAK27463.1	N/A	1.56e-30
JAK30270.1	N/A	1.62e-30
JAL74713.1	N/A	1.65e-30
MBY20807.1	N/A	1.65e-30
JAL72624.1	N/A	1.70e-30
CDW45760.1	N/A	2.32e-30
JAM92199.1	N/A	2.32e-30
JAM86303.1	N/A	2.34e-30
JAK25109.1	N/A	2.40e-30
CDW38630.1	N/A	2.55e-30
JAS42007.1	N/A	2.60e-30
JAG40793.1	N/A	2.74e-30
JAG40794.1	N/A	3.49e-30
JAV99628.1	N/A	4.39e-30
MBW14918.1	N/A	4.43e-30
JAR70852.1	N/A	4.92e-30
JAS39439.1	N/A	7.43e-30
AFP59838.1	N/A	8.58e-30
JAS44559.1	N/A	9.61e-30
JAM10608.1	N/A	1.04e-29
JAM60514.1	N/A	1.25e-29
JAT37998.1	N/A	1.25e-29
JAL60289.1	N/A	1.39e-29
JAD01743.1	N/A	1.40e-29
JAL09446.1	N/A	1.41e-29
MBY23440.1	N/A	1.67e-29
SBR68614.1	N/A	1.69e-29
JAJ27505.1	N/A	1.81e-29
JAT36067.1	N/A	1.92e-29
MBY26703.1	N/A	2.03e-29
MBY83018.1	N/A	3.09e-29
JAG09689.1	N/A	3.13e-29
JAR28520.1	N/A	3.38e-29
JAN36177.1	N/A	3.73e-29
JAI76445.1	N/A	3.95e-29
JAK21232.1	N/A	4.66e-29
JAL58138.1	N/A	5.15e-29
MBY75083.1	N/A	5.61e-29
CDG72124.1	N/A	7.14e-29
JAN18933.1	N/A	7.33e-29
MOS16298.1	N/A	8.21e-29
JAL32087.1	N/A	1.01e-28
JAG36235.1	N/A	1.07e-28
JAM81442.1	N/A	1.14e-28
JAN56359.1	N/A	1.29e-28
